Instar,Rep,Prey_density,Prey_left,Prey_eaten ,LB_mort,Pconsumed
Ad_fem,7,40,4,36,0,0.9
Ad_fem,7,80,25,55,0,0.6875
Ad_fem,7,100,29,71,0,0.71
Ad_fem,8,10,1,9,0,0.9
Ad_fem,8,20,1,19,0,0.95
Ad_fem,8,40,13,27,0,0.675
Ad_fem,8,80,20,60,0,0.75
Ad_fem,8,100,25,75,0,0.75
Ad_fem,9,10,0,10,0,1
Ad_fem,9,20,0,20,0,1
Ad_fem,9,40,5,35,0,0.875
Ad_fem,9,80,12,68,0,0.85
Ad_fem,9,100,33,67,0,0.67
Ad_fem,10,10,0,10,0,1
Ad_fem,10,20,1,19,0,0.95
Ad_fem,10,40,5,35,0,0.875
Ad_fem,10,80,14,66,0,0.825
Ad_fem,10,100,23,77,0,0.77
Ad_male,1,10,0,10,0,1
Ad_male,1,20,10,10,0,0.5
Ad_male,1,40,6,34,0,0.85
Ad_male,1,80,50,30,0,0.375
Ad_male,1,100,49,51,0,0.51
Ad_male,2,10,0,10,0,1
Ad_male,2,20,3,17,0,0.85
Ad_male,2,40,17,23,0,0.575
Ad_male,2,80,17,63,0,0.7875
Ad_male,2,100,55,45,0,0.45
Ad_male,3,10,0,10,0,1
Ad_male,3,20,0,20,0,1
Ad_male,3,40,6,34,0,0.85
Ad_male,3,80,39,41,0,0.5125
Ad_male,3,100,31,69,0,0.69
Ad_male,4,10,0,10,0,1
Ad_male,4,20,2,18,0,0.9
Ad_male,4,40,5,35,0,0.875
Ad_male,4,80,43,37,0,0.4625
Ad_male,4,100,41,59,0,0.59
Ad_male,5,10,0,10,0,1
Ad_male,5,20,8,12,0,0.6
Ad_male,5,40,20,20,0,0.5
Ad_male,5,80,52,28,0,0.35
Ad_male,5,100,43,57,0,0.57
Ad_male,6,10,2,8,0,0.8
Ad_male,6,20,1,19,0,0.95
Ad_male,6,40,15,25,0,0.625
Ad_male,6,80,54,26,0,0.325
Ad_male,6,100,48,52,0,0.52
Ad_male,7,10,1,9,0,0.9
Ad_male,7,20,2,18,0,0.9
Ad_male,7,40,4,36,0,0.9
Ad_male,7,80,30,50,0,0.625
Ad_male,7,100,43,57,0,0.57
Ad_male,8,10,0,10,0,1
Ad_male,8,20,3,17,0,0.85
Ad_male,8,40,11,29,0,0.725
Ad_male,8,80,41,39,0,0.4875
Ad_male,8,100,50,50,0,0.5
Ad_male,9,10,0,10,0,1
Ad_male,9,20,7,13,0,0.65
Ad_male,9,40,5,35,0,0.875
Ad_male,9,80,29,51,0,0.6375
Ad_male,9,100,37,63,0,0.63
Ad_male,10,10,0,10,0,1
Ad_male,10,20,1,19,0,0.95
Ad_male,10,40,7,33,0,0.825
Ad_male,10,80,36,44,0,0.55
Ad_male,10,100,51,49,0,0.49
