Instar,Rep,prey_density,prey_left,prey_eaten,pred_mort,Pconsumed
IV,10,10,5,5,0,0.5
IV,10,20,4,16,0,0.8
IV,10,40,22,18,0,0.45
IV,10,80,51,29,0,0.3625
IV,10,100,75,25,0,0.25
Ad_fem,1,10,3,7,0,0.7
Ad_fem,1,20,16,4,0,0.2
Ad_fem,1,40,23,17,0,0.425
Ad_fem,1,80,78,2,0,0.025
Ad_fem,1,100,88,12,0,0.12
Ad_fem,2,10,2,8,0,0.8
Ad_fem,2,20,5,15,0,0.75
Ad_fem,2,40,27,13,0,0.325
Ad_fem,2,80,64,16,0,0.2
Ad_fem,2,100,76,24,0,0.24
Ad_fem,3,10,3,7,0,0.7
Ad_fem,3,20,12,8,0,0.4
Ad_fem,3,40,20,20,0,0.5
Ad_fem,3,80,64,16,0,0.2
Ad_fem,3,100,87,13,0,0.13
Ad_fem,4,10,3,7,0,0.7
Ad_fem,4,20,7,13,0,0.65
Ad_fem,4,40,17,23,0,0.575
Ad_fem,4,80,66,14,0,0.175
Ad_fem,4,100,74,26,0,0.26
Ad_fem,5,10,3,7,0,0.7
Ad_fem,5,20,5,15,0,0.75
Ad_fem,5,40,31,9,0,0.225
Ad_fem,5,80,65,15,0,0.1875
Ad_fem,5,100,90,10,0,0.1
Ad_fem,6,10,2,8,0,0.8
Ad_fem,6,20,6,14,0,0.7
Ad_fem,6,40,28,12,0,0.3
Ad_fem,6,80,52,28,0,0.35
Ad_fem,6,100,75,25,0,0.25
Ad_fem,7,10,1,9,0,0.9
Ad_fem,7,20,9,11,0,0.55
Ad_fem,7,40,15,25,0,0.625
Ad_fem,7,80,52,28,0,0.35
Ad_fem,7,100,69,31,0,0.31
Ad_fem,8,10,2,8,0,0.8
Ad_fem,8,20,8,12,0,0.6
Ad_fem,8,40,14,26,0,0.65
Ad_fem,8,80,31,49,0,0.6125
Ad_fem,8,100,59,41,0,0.41
Ad_fem,9,10,0,10,0,1
Ad_fem,9,20,0,20,0,1
Ad_fem,9,40,18,22,0,0.55
Ad_fem,9,80,60,20,0,0.25
Ad_fem,9,100,92,8,0,0.08
Ad_fem,10,10,0,10,0,1
Ad_fem,10,20,5,15,0,0.75
Ad_fem,10,40,34,6,0,0.15
Ad_fem,10,80,64,16,0,0.2
Ad_fem,10,100,79,21,0,0.21
Ad_male,1,10,6,4,0,0.4
Ad_male,1,20,16,4,0,0.2
Ad_male,1,40,32,8,0,0.2
Ad_male,1,80,66,14,0,0.175
Ad_male,1,100,82,18,0,0.18
Ad_male,2,10,5,5,0,0.5
Ad_male,2,20,13,7,0,0.35
Ad_male,2,40,40,0,1,0
Ad_male,2,80,71,9,0,0.1125
Ad_male,2,100,93,7,0,0.07
Ad_male,3,10,6,4,0,0.4
Ad_male,3,20,20,0,0,0
Ad_male,3,40,35,5,0,0.125
Ad_male,3,80,80,0,1,0
Ad_male,3,100,92,8,0,0.08
Ad_male,4,10,5,5,0,0.5
Ad_male,4,20,8,12,0,0.6
Ad_male,4,40,35,5,0,0.125
Ad_male,4,80,72,8,0,0.1
Ad_male,4,100,89,11,0,0.11
Ad_male,5,10,3,7,0,0.7
Ad_male,5,20,16,4,0,0.2
Ad_male,5,40,40,0,1,0
Ad_male,5,80,80,0,1,0
Ad_male,5,100,76,24,0,0.24
Ad_male,6,10,2,8,0,0.8
Ad_male,6,20,17,3,0,0.15
Ad_male,6,40,29,11,0,0.275
Ad_male,6,80,71,9,0,0.1125
Ad_male,6,100,80,20,0,0.2
Ad_male,7,10,2,8,0,0.8
Ad_male,7,20,9,11,0,0.55
Ad_male,7,40,30,10,0,0.25
Ad_male,7,80,62,18,0,0.225
Ad_male,7,100,83,17,0,0.17
Ad_male,8,10,3,7,0,0.7
Ad_male,8,20,11,9,0,0.45
Ad_male,8,40,36,4,0,0.1
Ad_male,8,80,57,23,0,0.2875
Ad_male,8,100,94,6,0,0.06
Ad_male,9,10,2,8,0,0.8
Ad_male,9,20,15,5,0,0.25
Ad_male,9,40,26,14,0,0.35
Ad_male,9,80,74,6,0,0.075
Ad_male,9,100,76,24,0,0.24
Ad_male,10,10,2,8,0,0.8
Ad_male,10,20,16,4,0,0.2
Ad_male,10,40,30,10,0,0.25
Ad_male,10,80,67,13,0,0.1625
Ad_male,10,100,87,13,0,0.13
