Date,Evaluation ,Rep,Conditions,Farm,Variety,Location ,Hemp_type,Crop uses,Plant Stage,Plant height_cm,Insect damage,Type of damage ,Tissue damaged,Damage level,Hemp_aphid,aphid_para,Green_aph,aph_ parasitized,Other aphids,Total Aphids,Leaf_ hopp_Adult,Leaf_ hopp_nymp,Total_Leafhoppers,Predatory thrips ,Black Thrips,Total pred_thrips,Black Yellow Striped thrips, Brown Thrips,yellow thrips,other thrips,Total Phyt_thrips,Total Thrips,Pink LB Adults,Pink LB larvae,Pink LB Pupa,Pink LB eggs,Total PinkLB,Harm_axy adult,Harm_axy Larvae,Harm_axy Pupa,Harm_axy eggs,Total HA_LB,Checker LB,other LB,Total LadyBeetles,Other pred beetles,Total Pred_beetles,Mediumsize Flea beetles,Small black flea beetle,Other flea beetles,Total flea_beetles,other phyto beetles,Weevils adul,Diabrotica,Japanese beetle ,Total_herbivore_beetles,Crab spiders,Jumping spider,Sac Spider,orb web spider,Other spiders,Harvestmen,Total Spiders ,Miridae predatory,Damsell bug,Spined shoulder,Assassin bug ,MPB nymph,MPB adult,Predatory hemiptera,Miridae phytopagous,Tarnished plant bug,Stink bugs,Hemiptera ,Caterphillars ,Corn earworm,looper,moth,Total Lepidoptera,hover fly ad,Hovver fly larvae,Predator flies,leaf miner agromyzidae,Whitefly,Phytophagous flies,other flies,Ants ,Parasitic wasp,Pollinators ,lacewing eggs,lacewing larvae,Lacewing adults,grasshopper,cricket,otherinsects ,TOTAL PRED,TOTAL HERV
16-Jun,1,11,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,30.48,Y,Chew,leaf,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16-Jun,1,12,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,22.86,N,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jun,1,13,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,34.29,Y,Chew,leaf,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jun,1,14,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,30.48,Y,Chew,leaf,moderate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jun,1,15,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,30.48,Y,Chew,leaf,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jun,2,1,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,28.3,Y,Chew scrape,flower leaf,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23-Jun,2,2,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,38.4,Y,Chew,leaf,low,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
23-Jun,2,3,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,30.5,Y,Chew,leaf,moderate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Jun,2,4,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,38.2,Y,Scrape,leaf,low,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
23-Jun,2,5,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,37.4,Y,Chew,leaf,moderate,0,0,4,0,0,4,0,0,0,0,0,0,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
23-Jun,2,6,Sunny,Lazy Moon,Mix Hawaiian Haze and White,Central PA,CBD,CBD,vegetative,28.5,Y,Chew scrape,leaf,low,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
