farm,location,hemp_type,variety,crop_use,plant_density,near_crops,weed management,plot_size,date,evaluation,month,plant,conditions,plant_stage,plant_ height_cm,insect damage,damage_type,tissue_damaged,damage_level,chewing,scraping,boring,mining,rottenbud,hemp_aph,green_aph,other_aph,hlthoppers,fhoppers,blhop,glhop,unk_leafhop_ad,damsell_bug,podisus_m,wheel_bug ,mpiratebugs,miridae_planbugs,tarnished_pb,stink_bugs,whiteflies,unk_hemiptera ,pred_thrips,soybthrip, brown_Thr,yellow_thr,unk_thrips,pink_lb,harm_axy,checker_lb,tiny_lb,unk_lb,lampirids,staphilinids,carabids, fb_altica ,fb_crep,other_fb,unk_herb_ beetles,elaterids,weevils,diabrotica,japanese_b ,crab_spid,jump_spid,sac_spid,orbwev_spid,unk_spiders,harvestmen opiliones,unk_caterp ,tussock moth,arctids,corn_ew,geometridae,hooverfly,leafminer,fruit_flies,gnats,crane_fly,house fly,unk_flies,ants ,parasitic_wasp,bees,lacewings,grasshopper,cricket,otherinsects 
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,16-Jun-22,1,jun,12,Sunny,vegetative,22.86,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,16-Jun-22,1,jun,13,Sunny,vegetative,34.29,1,Chew,leaf,low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,16-Jun-22,1,jun,14,Sunny,vegetative,30.48,1,Chew,leaf,moderate,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,16-Jun-22,1,jun,15,Sunny,vegetative,30.48,1,Chew,leaf,low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,23-Jun-22,2,jun,1,Sunny,vegetative,28.3,1,Chew scrape,flower leaf,low,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,23-Jun-22,2,jun,2,Sunny,vegetative,38.4,1,Chew,leaf,low,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,23-Jun-22,2,jun,3,Sunny,vegetative,30.5,1,Chew,leaf,moderate,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,23-Jun-22,2,jun,4,Sunny,vegetative,38.2,1,Scrape,leaf,low,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,23-Jun-22,2,jun,5,Sunny,vegetative,37.4,1,Chew,leaf,moderate,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,23-Jun-22,2,jun,6,Sunny,vegetative,28.5,1,Chew scrape,leaf,low,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,23-Jun-22,2,jun,7,Sunny,vegetative,35,1,Chew,leaf,low,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,23-Jun-22,2,jun,8,Sunny,vegetative,30,1,Scrape,leaf,low,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,23-Jun-22,2,jun,9,Sunny,vegetative,20,1,Chew,leaf,low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,23-Jun-22,2,jun,10,Sunny,vegetative,20.4,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,23-Jun-22,2,jun,11,Sunny,vegetative,28.5,1,Chew,leaf,low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,23-Jun-22,2,jun,12,Sunny,vegetative,27.8,1,Chew,leaf,low,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,23-Jun-22,2,jun,13,Sunny,vegetative,19.3,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,23-Jun-22,2,jun,14,Sunny,vegetative,29.5,1,Scrape,leaf,low,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,23-Jun-22,2,jun,15,Sunny,vegetative,38,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,30-Jun-22,3,jun,1,Sunny,vegetative,46,1,Chew,leaf,low,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,30-Jun-22,3,jun,2,Sunny,vegetative,16.3,0,NA,NA,NA,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,30-Jun-22,3,jun,3,Sunny,vegetative,43.5,0,NA,NA,NA,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,30-Jun-22,3,jun,4,Sunny,vegetative,39.3,0,NA,NA,NA,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,30-Jun-22,3,jun,5,Sunny,vegetative,50,1,Chew scrape,leaf,low,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,30-Jun-22,3,jun,6,Sunny,vegetative,34.5,1,Chew,leaf,low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,30-Jun-22,3,jun,7,Sunny,vegetative,54,1,Chew scrape,leaf,low,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,30-Jun-22,3,jun,8,Sunny,vegetative,35,1,Chew,leaf,low,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,30-Jun-22,3,jun,9,Sunny,vegetative,37.5,0,NA,NA,NA,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,30-Jun-22,3,jun,10,Sunny,vegetative,42,1,Chew,leaf,low,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,30-Jun-22,3,jun,11,Sunny,vegetative,37.5,1,Chew,leaf,low,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,30-Jun-22,3,jun,12,Sunny,vegetative,43.5,1,Chew,leaf,low,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,30-Jun-22,3,jun,13,Sunny,vegetative,20.5,1,Scrape,leaf,low,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,30-Jun-22,3,jun,14,Sunny,vegetative,31,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,30-Jun-22,3,jun,15,Sunny,vegetative,30,1,Chew,leaf,low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,8-Jul-22,4,jul,1,Sunny,vegetative,65.6,1,Chew,leaf,low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,8-Jul-22,4,jul,2,Sunny,vegetative,30.2,1,Chew,leaf,low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,8-Jul-22,4,jul,3,Sunny,vegetative,25.8,0,NA,NA,NA,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,8-Jul-22,4,jul,4,Sunny,vegetative,55.4,1,Chew scrape,leaf,low,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,8-Jul-22,4,jul,5,Sunny,vegetative,48,1,Chew,leaf,low,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,8-Jul-22,4,jul,6,Sunny,vegetative,65.6,1,Chew scrape,leaf,low,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,8-Jul-22,4,jul,7,Sunny,vegetative,43,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,8-Jul-22,4,jul,8,Sunny,vegetative,42.6,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,8-Jul-22,4,jul,9,Sunny,vegetative,56,1,Chew,leaf,low,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,8-Jul-22,4,jul,10,Sunny,vegetative,61.5,1,Chew scrape,leaf,low,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lazy Moon,Central PA,CBD,Mix Hawaiian Haze and White,CBD,2000,corn,mulching ,0.5,8-Jul-22,4,jul,11,Sunny,vegetative,34,1,Chew mining,leaf,low,1,0,0,1,0,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
