Treatment,stage,treatment,rep,fs,fms,y,etr,fo,fm,fvm,fvo,aphids ,Plant fresh weight (g),Dry weight (g),Finaldryweight
PostFlow Aphid Free,post,aphidfree,10,143,644,0.777,13.3,194,881,0.779,3.541,0,29.5,10.39,14.44033898
Veg Infested,veg,infest,1,188,782,0.759,11.1,214,933,0.77,3.359,4361,27.9,4.5,4.951612903
Veg Infested,veg,infest,2,216,830,0.739,22.3,252,1072,0.764,3.253,3940,24.9,4.22,4.626746988
Veg Infested,veg,infest,3,175,726,0.758,21.3,224,885,0.746,2.95,4997,31.7,4.36,4.882649842
Veg Infested,veg,infest,4,239,874,0.726,28,219,956,0.77,3.365,5769,26.1,3.89,4.471264368
Veg Infested,veg,infest,5,215,769,0.72,35.3,245,926,0.735,2.779,2791,30.6,4.95,5.645588235
Veg Infested,veg,infest,6,211,767,0.724,26.1,217,839,0.741,2.866,3140,31.2,6.56,7.38
Veg Infested,veg,infest,7,215,756,0.715,11.4,209,834,0.749,2.99,4097,22.1,5.59,6.45
Veg Infested,veg,infest,8,191,693,0.724,20.3,227,917,0.752,3.039,3388,29.7,4.98,5.415959596
Veg Infested,veg,infest,9,209,795,0.737,28.7,245,1015,0.758,3.142,5240,27.5,5.62,6.539636364
Veg Infested,veg,infest,10,234,842,0.722,36.3,230,937,0.754,3.073,3987,30.9,6.6,7.454368932
Flow Infested,flow,infest,1,130,434,0.7,37.3,237,862,0.725,2.637,1240,42.9,10.75,12.20337995
Flow Infested,flow,infest,2,187,712,0.737,32.4,226,892,0.746,2.946,4101,45.6,10.85,11.87313596
Flow Infested,flow,infest,3,202,679,0.702,35,227,868,0.738,2.823,3448,44.1,10.46,11.4799093
Flow Infested,flow,infest,4,178,750,0.762,20.8,211,861,0.754,3.08,4649,36.7,7.47,8.12133515
Flow Infested,flow,infest,5,216,763,0.716,27.6,219,881,0.751,3.022,3452,60.3,17.62,18.49661692
Flow Infested,flow,infest,6,201,721,0.721,14.8,220,873,0.747,2.968,5153,38.3,9.59,11.04227154
Flow Infested,flow,infest,7,202,778,0.74,21.7,218,931,0.765,3.27,2059,50,14.65,16.3787
Flow Infested,flow,infest,8,217,754,0.712,23.3,247,932,0.734,2.773,2343,41.8,10.57,12.97227273
Flow Infested,flow,infest,9,213,796,0.732,14.4,256,901,0.715,2.519,2664,37.9,9.74,10.61377309
Flow Infested,flow,infest,10,177,721,0.754,22.7,197,859,0.77,3.36,2349,28.5,7.87,9.55445614
PostFlow Infested,post,infest,1,295,640,0.539,85.9,156,497,0.686,2.185,508,30.3,10.85,13.21336634
PostFlow Infested,post,infest,2,212,558,0.62,61.9,206,765,0.73,2.713,591,23.4,8.36,11.50393162
PostFlow Infested,post,infest,3,222,652,0.659,34.8,210,844,0.751,3.019,792,39.3,12.51,18.08061069
PostFlow Infested,post,infest,4,207,697,0.703,15.6,223,897,0.751,3.022,455,35.3,13.65,17.32351275
PostFlow Infested,post,infest,5,146,569,0.743,34,199,848,0.765,3.261,457,41,13.7,16.90780488
PostFlow Infested,post,infest,6,202,637,0.682,38.6,226,878,0.742,2.884,895,38.4,15.04,18.565
PostFlow Infested,post,infest,7,231,728,0.682,44.1,200,723,0.723,2.615,897,30,9.58,12.10273333
PostFlow Infested,post,infest,8,215,697,0.691,21.1,246,929,0.735,2.776,1269,34.5,12.26,13.32608696
PostFlow Infested,post,infest,9,166,600,0.723,23.9,207,849,0.756,3.101,350,40.3,13.76,16.15007444
PostFlow Infested,post,infest,10,179,699,0.743,17.1,214,896,0.761,3.186,597,48.6,16.32,18.30123457
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
