Block,treatment,stage,rep,fs,fms,y,etr,fo,fm,fvm,fvo,aphids ,fresh_weight_g,dry_weight_g
1,Post Infested,post,5,145,605,0.76,8.9,223,1016,0.78,3.556,826,44.64,16.53413592
1,Post Infested,post,6,244,804,0.696,9.3,205,779,0.736,2.8,397,51.4,21.33044968
1,Post Infested,post,7,235,735,0.68,8.8,246,956,0.742,2.886,639,49.29,32.2397947
1,Post Infested,post,8,213,773,0.724,31,227,1001,0.773,3.409,823,51.12,21.32402603
1,Post Infested,post,9,178,682,0.739,11.1,236,1037,0.772,3.394,321,52.27,20.7955914
1,Post Infested,post,10,209,788,0.734,28.6,224,962,0.767,3.294,1250,50.13,21.48584934
2,Veg Aphid Free,veg,1,195,720,0.729,27.5,178,799,0.777,3.488,0,20.02,5.525110733
2,Veg Aphid Free,veg,2,208,731,0.715,19.2,205,917,0.776,3.473,0,25.67,6.257740723
2,Veg Aphid Free,veg,3,180,639,0.718,31.9,172,681,0.747,2.959,0,26.51,8.282813384
2,Veg Aphid Free,veg,4,205,685,0.7,25.8,183,7654,0.76,3.18,0,15.34,4.636807131
2,Veg Aphid Free,veg,5,202,686,0.705,29.9,214,818,0.738,2.822,0,15.63,5.368789127
2,Veg Aphid Free,veg,6,166,659,0.748,25.1,182,849,0.785,3.664,0,23.36,5.314182206
2,Veg Aphid Free,veg,7,187,644,0.709,31.2,188,758,0.751,3.031,0,30.25,9.722314738
2,Veg Aphid Free,veg,8,214,737,0.709,22.9,211,896,0.764,3.246,0,23.55,7.063838185
2,Veg Aphid Free,veg,9,133,515,0.741,36.4,188,716,0.737,2.808,0,12.96,3.979223301
2,Veg Aphid Free,veg,10,205,734,0.72,29.6,246,964,0.744,2.918,0,23.01,6.412622951
2,Flow Aphid Free,flow,1,194,675,0.712,19.7,181,755,0.76,3.171,0,26.19,5.588969595
2,Flow Aphid Free,flow,2,193,686,0.718,17.7,175,771,0.773,3.4054,0,25.62,5.56424821
2,Flow Aphid Free,flow,3,169,681,0.751,19.5,177,820,0.784,3.632,0,25.79,4.339930108
2,Flow Aphid Free,flow,4,164,566,0.71,45,214,921,0.767,3.303,0,25.47,4.87238975
2,Flow Aphid Free,flow,5,182,756,0.759,21.3,190,917,0.792,3.826,0,20.18,5.814819021
2,Flow Aphid Free,flow,6,198,717,0.723,40.3,184,890,0.793,3.836,0,22.21,4.740299202
2,Flow Aphid Free,flow,7,177,662,0.732,13.2,178,805,0.778,3.522,0,32.01,7.057424426
2,Flow Aphid Free,flow,8,190,740,0.743,21.5,188,915,0.794,3.867,0,29.38,5.898524197
2,Flow Aphid Free,flow,9,173,642,0.73,11,207,881,0.765,3.256,0,16.39,3.793262243
2,Flow Aphid Free,flow,10,185,649,0.714,10.4,214,945,0.773,3.415,0,11.61,3.373471698
2,Post Aphid Free,post,1,176,762,0.769,4.1,196,969,0.797,3.943,0,51.77,15.90086802
2,Post Aphid Free,post,2,180,667,0.73,8.2,210,875,0.76,3.166,0,54.37,18.02314055
2,Post Aphid Free,post,3,187,692,0.729,3.9,186,818,0.772,3.397,0,50.74,14.65721615
2,Post Aphid Free,post,4,171,750,0.772,3.8,187,1016,0.815,4.433,0,36.13,11.71213132
2,Post Aphid Free,post,5,167,635,0.737,43,164,778,0.789,3.743,0,69.35,25.63276644
2,Post Aphid Free,post,6,144,597,0.758,47.7,139,664,0.79,3.776,0,53.65,17.82985903
2,Post Aphid Free,post,7,167,640,0.739,39.7,175,831,0.789,3.748,0,59.97,19.16049094
2,Post Aphid Free,post,8,150,596,0.748,38.3,167,812,0.794,3.862,0,38.89,14.70968912
2,Post Aphid Free,post,9,198,728,0.728,33,178,771,0.769,3.331,0,26.91,10.18592188
2,Post Aphid Free,post,10,175,705,0.751,27.1,169,810,0.791,3.792,0,42.66,14.37712707
2,Veg Infested,veg,1,199,801,0.751,21.4,190,875,0.782,3.605,1461,36.6,9.251514243
2,Veg Infested,veg,2,177,637,0.722,26.6,231,908,0.745,2.93,2795,26.65,7.286842105
2,Veg Infested,veg,3,172,711,0.758,22.2,203,866,0.765,3.266,2262,26.7,8.712752254
2,Veg Infested,veg,4,175,654,0.732,21.5,203,796,0.744,2.921,3484,33.96,11.57976729
2,Veg Infested,veg,5,187,695,0.73,43.5,201,767,0.737,2.815,1499,38.9,12.3447295
2,Veg Infested,veg,6,185,728,0.745,22.8,211,884,0.761,3.189,2211,32.67,11.70775394
2,Veg Infested,veg,7,206,727,0.716,48.7,217,826,0.737,2.806,2075,43.32,14.66367699
2,Veg Infested,veg,8,185,728,0.745,48.1,216,912,0.763,3.222,5574,38.53,13.58955912
2,Veg Infested,veg,9,181,753,0.759,13.3,184,907,0.797,3.929,2684,26.68,9.700733453
2,Veg Infested,veg,10,197,736,0.732,12.6,211,893,0.763,3.232,2941,38.28,11.8645614
2,Flow Infested,flow,1,164,728,0.774,25,186,792,0.765,3.258,1714,59.14,20.81493954
2,Flow Infested,flow,2,139,653,0.787,15.8,169,753,0.775,3.455,2744,50.72,19.39359232
